"Nodes";"DateTime"
2669;2014-03-10
2669;2014-03-10
2680;2014-03-10
2677;2014-03-10
2664;2014-03-10
2666;2014-03-10
2686;2014-03-10
2671;2014-03-10
2680;2014-03-10
2679;2014-03-10
2683;2014-03-10
2686;2014-03-10
2689;2014-03-10
2692;2014-03-10
2684;2014-03-10
2686;2014-03-10
2682;2014-03-11
2675;2014-03-11
2662;2014-03-11
2665;2014-03-11
2665;2014-03-11
2656;2014-03-11
2652;2014-03-11
2655;2014-03-11
2659;2014-03-11
2671;2014-03-11
2676;2014-03-11
2679;2014-03-11
2676;2014-03-11
2682;2014-03-11
2676;2014-03-11
2688;2014-03-11
2690;2014-03-11
2686;2014-03-11
2697;2014-03-11
2698;2014-03-11
2701;2014-03-11
2702;2014-03-11
2704;2014-03-11
2706;2014-03-11
2702;2014-03-12
2702;2014-03-12
2705;2014-03-12
2693;2014-03-12
2681;2014-03-12
2680;2014-03-12
2682;2014-03-12
2692;2014-03-12
2692;2014-03-12
2687;2014-03-12
2701;2014-03-12
2709;2014-03-12
2705;2014-03-12
2718;2014-03-12
2709;2014-03-12
2703;2014-03-12
2702;2014-03-12
2708;2014-03-12
2706;2014-03-12
2696;2014-03-12
2704;2014-03-12
2711;2014-03-12
2708;2014-03-12
2706;2014-03-12
2703;2014-03-13
2698;2014-03-13
2696;2014-03-13
2690;2014-03-13
2690;2014-03-13
2682;2014-03-13
2677;2014-03-13
2681;2014-03-13
2689;2014-03-13
2691;2014-03-13
2704;2014-03-13
2707;2014-03-13
2709;2014-03-13
2713;2014-03-13
2705;2014-03-13
2711;2014-03-13
2700;2014-03-13
2696;2014-03-13
2688;2014-03-13
2700;2014-03-13
2695;2014-03-13
2708;2014-03-13
2718;2014-03-13
2721;2014-03-13
2712;2014-03-14
2711;2014-03-14
2700;2014-03-14
2695;2014-03-14
2686;2014-03-14
2682;2014-03-14
2682;2014-03-14
2687;2014-03-14
2685;2014-03-14
2684;2014-03-14
2699;2014-03-14
2698;2014-03-14
2707;2014-03-14
2704;2014-03-14
2453;2014-03-14
2702;2014-03-14
2692;2014-03-14
2704;2014-03-14
2693;2014-03-14
2704;2014-03-14
2725;2014-03-14
2717;2014-03-14
2723;2014-03-14
2729;2014-03-14
2722;2014-03-15
2704;2014-03-15
2699;2014-03-15
2697;2014-03-15
2689;2014-03-15
2689;2014-03-15
2688;2014-03-15
2685;2014-03-15
2688;2014-03-15
2691;2014-03-15
2700;2014-03-15
2700;2014-03-15
2469;2014-03-15
2698;2014-03-15
2694;2014-03-15
2691;2014-03-15
2682;2014-03-15
2684;2014-03-15
2686;2014-03-15
2687;2014-03-15
2690;2014-03-15
2685;2014-03-15
2681;2014-03-15
2683;2014-03-15
2694;2014-03-16
2683;2014-03-16
2687;2014-03-16
2685;2014-03-16
2678;2014-03-16
2670;2014-03-16
2673;2014-03-16
2676;2014-03-16
2676;2014-03-16
2675;2014-03-16
2675;2014-03-16
2681;2014-03-16
2495;2014-03-16
2690;2014-03-16
2697;2014-03-16
2698;2014-03-16
2700;2014-03-16
2701;2014-03-16
2696;2014-03-16
2697;2014-03-16
2708;2014-03-16
2706;2014-03-16
2701;2014-03-16
2700;2014-03-16
2695;2014-03-17
2683;2014-03-17
2679;2014-03-17
2677;2014-03-17
2666;2014-03-17
2673;2014-03-17
2666;2014-03-17
2668;2014-03-17
2668;2014-03-17
2666;2014-03-17
2667;2014-03-17
2686;2014-03-17
2688;2014-03-17
2685;2014-03-17
2698;2014-03-17
2693;2014-03-17
2701;2014-03-17
2709;2014-03-17
2706;2014-03-17
2711;2014-03-17
2709;2014-03-17
2716;2014-03-17
2697;2014-03-17
2711;2014-03-17
2701;2014-03-18
2690;2014-03-18
2681;2014-03-18
2665;2014-03-18
2672;2014-03-18
2672;2014-03-18
2662;2014-03-18
2680;2014-03-18
2682;2014-03-18
